artist,title,title_index,release_year,hp,bill_year,bill_ranking,era,popularity,loudness,tempo,time,modality,danceability,energy,speechiness,instrumentalness,liveness,valence,genre
Dave Brubeck Quartet,Take Five,1,1962,279,1999,279,oldies,65,-13.193,174.322,5,0,0.454,0.26,0.0401,0.00078,0.0675,0.598,other
Dave Brubeck Quartet,Take Five,1,1962,279,2000,621,oldies,65,-13.193,174.322,5,0,0.454,0.26,0.0401,0.00078,0.0675,0.598,other
Dave Brubeck Quartet,Take Five,1,1962,279,2001,741,oldies,65,-13.193,174.322,5,0,0.454,0.26,0.0401,0.00078,0.0675,0.598,other
Dave Brubeck Quartet,Take Five,1,1962,279,2002,526,oldies,65,-13.193,174.322,5,0,0.454,0.26,0.0401,0.00078,0.0675,0.598,other
Dave Brubeck Quartet,Take Five,1,1962,279,2003,392,oldies,65,-13.193,174.322,5,0,0.454,0.26,0.0401,0.00078,0.0675,0.598,other
Dave Brubeck Quartet,Take Five,1,1962,279,2004,485,oldies,65,-13.193,174.322,5,0,0.454,0.26,0.0401,0.00078,0.0675,0.598,other
Dave Brubeck Quartet,Take Five,1,1962,279,2005,602,oldies,65,-13.193,174.322,5,0,0.454,0.26,0.0401,0.00078,0.0675,0.598,other
Dave Brubeck Quartet,Take Five,1,1962,279,2006,586,oldies,65,-13.193,174.322,5,0,0.454,0.26,0.0401,0.00078,0.0675,0.598,other
Dave Brubeck Quartet,Take Five,1,1962,279,2007,604,oldies,65,-13.193,174.322,5,0,0.454,0.26,0.0401,0.00078,0.0675,0.598,other
Dave Brubeck Quartet,Take Five,1,1962,279,2008,537,oldies,65,-13.193,174.322,5,0,0.454,0.26,0.0401,0.00078,0.0675,0.598,other
Dave Brubeck Quartet,Take Five,1,1962,279,2009,577,oldies,65,-13.193,174.322,5,0,0.454,0.26,0.0401,0.00078,0.0675,0.598,other
Dave Brubeck Quartet,Take Five,1,1962,279,2010,724,oldies,65,-13.193,174.322,5,0,0.454,0.26,0.0401,0.00078,0.0675,0.598,other
