artist,title,title_index,release_year,hp,bill_year,bill_ranking,era,era_year,popularity,loudness,tempo,time,modality,danceability,energy,speechiness,instrumentalness,liveness,valence,genre
Queen,Bohemian Rhapsody,1,1975,1,1999,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2000,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2001,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2002,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2003,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2004,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2005,2,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2006,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2007,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2008,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2009,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2010,2,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2011,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2012,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2013,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2014,2,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2015,2,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2016,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2017,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2018,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Queen,Bohemian Rhapsody,1,1975,1,2019,1,oldies,1920-1989,75,-9.961,143.883,4,0,0.392,0.402,0.0536,0,0.243,0.228,rock
Coldplay,Clocks,2,2003,6,2011,10,2000s,2000-2020,76,-7.215,130.969,4,0,0.577,0.749,0.0279,0.0112,0.183,0.261,pop
Coldplay,Clocks,2,2003,6,2012,9,2000s,2000-2020,76,-7.215,130.969,4,0,0.577,0.749,0.0279,0.0112,0.183,0.261,pop
